Experiment,State,test_balanced_accuracy,crossvalidate.features,model.n_estimators,model.max_depth,model.max_features,model.max_leaf_nodes,model.min_samples_leaf,model.min_weight_fraction_leaf,data/features.pkl,data/features_rank.pkl,data/train_features.pkl
,,0.7988791036255554,200,1000,None,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
,,0.8110981203969322,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
wonky-snub,,0.7988791036255554,30,100,,,,,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
freed-dita,Success,0.7412914562911774,200,1000,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
folio-gang,Success,0.7398226319903128,200,500,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
jammy-book,Success,0.7397728000056383,200,200,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
jerky-axon,Success,0.7442210281982644,200,100,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
lushy-suds,Success,0.7395866376604563,200,50,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
later-ewes,Success,0.7453479557525198,200,1000,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
tarot-whop,Success,0.7426176596914195,200,500,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
dural-nock,Success,0.7376145079409427,200,200,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
shoal-synd,Success,0.7409691089522285,200,100,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
tarot-tors,Success,0.7409311136621773,200,50,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
right-snap,Success,0.74032322484831,200,1000,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
gamic-tote,Success,0.739838083587871,200,500,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
ready-conk,Success,0.7413151441353754,200,200,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
spent-weir,Success,0.7418571685663451,200,100,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
welsh-sail,Success,0.7441800802004888,200,50,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
finer-taus,Success,0.7442470124786039,200,1000,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
legal-lulu,Success,0.7423025480702051,200,500,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
moony-dunt,Success,0.744476573933941,200,200,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
amber-rede,Success,0.7437772120298376,200,100,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
erect-pony,Success,0.7367340134247773,200,50,20,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
hasty-pail,Success,0.7669273147102291,200,1000,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
batty-dirk,Success,0.7607609635316206,200,500,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
glary-wool,Success,0.7634338433289063,200,200,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
third-nims,Success,0.7574157057433271,200,100,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
naggy-vane,Success,0.7572407077303727,200,50,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
rutty-goad,Success,0.7730311399267112,200,1000,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
dicey-tell,Success,0.7694436333545643,200,500,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
round-dunk,Success,0.7714731433889904,200,200,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
drawn-sups,Success,0.7709590608808373,200,100,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
welsh-roma,Success,0.7715172922110056,200,50,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
fishy-rins,Success,0.771644680556429,200,1000,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
gaunt-darg,Success,0.7730072255817635,200,500,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
soapy-tune,Success,0.77013831658725,200,200,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bluff-hake,Success,0.7677791611984564,200,100,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
messy-lots,Success,0.7599464472224842,200,50,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
wrath-loup,Success,0.7674293927546849,200,1000,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
eerie-mung,Success,0.7720743528994917,200,500,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
goosy-kine,Success,0.7683893059875933,200,200,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
hilly-scut,Success,0.7668479830546423,200,100,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
sedgy-bark,Success,0.7657631572848447,200,50,20,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
areal-send,Success,0.7685328431617824,200,1000,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
hasty-bots,Success,0.7707955596347839,200,500,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
whist-quiz,Success,0.7640171644579141,200,200,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
banal-orle,Success,0.7627143932390476,200,100,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
sixty-nave,Success,0.7609224623043573,200,50,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
crack-kite,Success,0.7884832125885891,200,1000,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
uveal-moit,Success,0.787500583234746,200,500,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bifid-ball,Success,0.7847957212097957,200,200,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
prize-feme,Success,0.793541332474972,200,100,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
apish-pans,Success,0.7854228511022108,200,50,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
older-cats,Success,0.7885012591850588,200,1000,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
front-thaw,Success,0.7908767146034157,200,500,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
stung-glop,Success,0.7850810373324274,200,200,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
blond-suds,Success,0.7932641748828141,200,100,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
flamy-mene,Success,0.7869692445552643,200,50,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
about-hoot,Success,0.7864917780455989,200,1000,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
kraal-deep,Success,0.78732432664485,200,500,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
ropey-gram,Success,0.7848038518225884,200,200,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bendy-tods,Success,0.782119092753433,200,100,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
catty-limb,Success,0.780689372687112,200,50,20,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
cushy-auks,Success,0.7762143173689485,200,1000,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
soled-tola,Success,0.7793227666503131,200,500,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
typic-life,Success,0.7782998647160204,200,200,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
tasty-wire,Success,0.7742489760352843,200,100,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
aroid-many,Success,0.7772164923662828,200,50,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
pithy-tuns,Success,0.801996381212016,200,1000,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
so-so-seal,Success,0.8033454512438988,200,500,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
sleek-tegu,Success,0.796310622399383,200,200,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
peart-cane,Success,0.7896235872614069,200,100,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
proud-salp,Success,0.7932191274520639,200,50,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
gulfy-pail,Success,0.8031551335928588,200,1000,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
waspy-girl,Success,0.8027004555471917,200,500,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
cered-kiwi,Success,0.8101764342133185,200,200,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
often-woes,Success,0.801637850557845,200,100,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
sneak-jive,Success,0.7967031438953196,200,50,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
incog-tugs,Success,0.8080218549036265,200,1000,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
oaten-orcs,Success,0.8089948631600621,200,500,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
glary-divs,Success,0.8102747738360628,200,200,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
mardy-daks,Success,0.8126012316962562,200,100,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
loral-gird,Success,0.8008589844132409,200,50,20,sqrt,,1,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
naive-tams,Success,0.7418714115045392,200,1000,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
soppy-heck,Success,0.7408798370229165,200,500,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
genal-fils,Success,0.7404727105697549,200,200,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bandy-deys,Success,0.7475724688175619,200,100,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
oiled-amie,Success,0.738642836878251,200,50,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
boric-coth,Success,0.7416118368142655,200,1000,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
dolce-aril,Success,0.7411227686420181,200,500,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
toric-daze,Success,0.7366656838602264,200,200,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
ebony-walk,Success,0.7443214050963546,200,100,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
afoul-gash,Success,0.7402460289993582,200,50,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
awful-dawn,Success,0.7458199242291557,200,1000,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
blown-sups,Success,0.7398942811655622,200,500,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
shock-bark,Success,0.7428830467152835,200,200,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
grade-help,Success,0.7413493556068279,200,100,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
oaken-cyma,Success,0.7423747988051217,200,50,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
saved-tire,Success,0.7435753866230094,200,1000,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
tangy-kern,Success,0.740196183356462,200,500,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
sulfa-fish,Success,0.7459720722199029,200,200,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
wrath-rotl,Success,0.7424024695302969,200,100,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
lying-hock,Success,0.7321046515706812,200,50,10,sqrt,,20,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
undug-wind,Success,0.7634479868858635,200,1000,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
tippy-doge,Success,0.7604731429197717,200,500,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
third-bond,Success,0.7580842091684559,200,200,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
named-damn,Success,0.7580032130857821,200,100,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
blowy-ally,Success,0.7536390099198453,200,50,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
often-lahs,Success,0.7711137533607669,200,1000,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
anile-dees,Success,0.7689636288955012,200,500,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
ethic-hard,Success,0.767697908140119,200,200,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
salic-prow,Success,0.7673410773507019,200,100,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
mardy-holy,Success,0.7638027881642524,200,50,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
inane-syce,Success,0.7723014225733695,200,1000,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
smoky-wine,Success,0.7712792539866332,200,500,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
gimpy-rubs,Success,0.7768564719904132,200,200,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bland-kina,Success,0.773819620843497,200,100,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
loral-sing,Success,0.7635745646250515,200,50,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
stung-look,Success,0.7697080621208373,200,1000,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
bifid-term,Success,0.7713022168363832,200,500,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
lying-libs,Success,0.7687107434439963,200,200,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
cheek-alap,Success,0.7692482023671452,200,100,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
boxed-rand,Success,0.7601338205814282,200,50,10,sqrt,,10,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
hyoid-zone,Success,0.7668616400451012,200,1000,10,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
lardy-cuss,Success,0.7689044395464627,200,500,10,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
prime-weys,Success,0.7618757245456499,200,200,10,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
glued-taal,Success,0.7646880015691365,200,100,10,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
gawsy-bolo,Success,0.7681604413930792,200,50,10,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
sixth-agas,Success,0.7872663692953606,200,1000,10,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
first-hose,Success,0.7839191895208004,200,500,10,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
quiet-lots,Success,0.7873393254807837,200,200,10,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
baked-baby,Success,0.782087606747019,200,100,10,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
shyer-rain,Success,0.7847315272730292,200,50,10,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
fetid-prep,Success,0.7839771286990939,200,1000,10,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
spent-wire,Success,0.7854476488512984,200,500,10,sqrt,,5,0.0,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
